¹ö½ºÁ¤·ùÀå,½ÂÇÏÂ÷ÃÑ½Â°´¼ö,XÁÂÇ¥,YÁÂÇ¥
23185,1094,127.0442635,37.52374883
23127,2215,127.0407232,37.518485
23128,993,127.040089,37.51689253
23135,595,127.0401994,37.51678711
23177,1403,127.0428409,37.51750335
23178,2918,127.0409445,37.51828467
23205,2148,127.0425829,37.51732938
23134,750,127.0364341,37.51565505
23118,2067,127.0300881,37.51369865
23115,1411,127.0297132,37.51371991
23235,565,127.0631948,37.49956997
23246,541,127.0638477,37.49997906
23264,1177,127.0567035,37.49758549
23401,227,127.1022591,37.48754689
23402,881,127.1005427,37.48815127
23404,3305,127.1007586,37.48714359
23408,7829,127.1018295,37.4868325
23409,1520,127.1019876,37.48699564
23410,2553,127.1027879,37.48756378
23544,3198,127.1024251,37.48664135
23562,123,127.1044033,37.48822418
23944,56,127.1029589,37.48775175
23366,42,127.0624045,37.47782812
23458,41,127.0636212,37.4786675
23533,136,127.0623115,37.4777795
23437,229,127.0949948,37.46501405
22008,5567,127.0310112,37.49104273
22587,2288,127.021527,37.510252
23119,1469,127.0323559,37.51027213
23143,178,127.0376947,37.5085038
23272,416,127.0397676,37.50746945
23545,218,127.0495377,37.47647183
23459,342,127.0561003,37.47861898
23516,607,127.0550433,37.47696384
23338,281,127.0582127,37.47664723
23445,105,127.0579112,37.476596
23341,117,127.056812,37.48324015
23515,220,127.0571023,37.4837027
23880,230,127.0835891,37.48398015
23433,131,127.057798,37.47565603
23468,241,127.0554936,37.47439317
23470,103,127.055526,37.47421498
23335,718,127.0585692,37.48417305
23336,969,127.0607012,37.48241082
23343,442,127.058565,37.48431384
23344,1182,127.0606005,37.48261974
23346,433,127.0640239,37.48375109
23466,447,127.0635817,37.48349877
23353,1239,127.0672967,37.48665083
23475,40,127.0689231,37.48654517
23351,764,127.067276,37.48629897
23348,309,127.0659706,37.48524689
23349,233,127.0682915,37.48430916
23350,334,127.0690636,37.48360227
22654,142,127.0289856,37.49468552
23302,1234,127.040226,37.49626919
23536,87,127.0299808,37.51537386
23202,2006,127.0561922,37.50777932
23453,896,127.0559478,37.50788524
23438,1900,127.0637803,37.50728751
23523,479,127.0582694,37.50723782
23251,1792,127.0615727,37.50828466
23514,450,127.0575595,37.5072549
23961,191,127.1034084,37.46067648
23995,711,127.1019004,37.46122681
23529,124,127.041322,37.48695156
23412,1034,127.1018398,37.46537659
23537,1663,127.1024789,37.46517099
23414,146,127.1068449,37.4647728
23318,2209,127.0379877,37.48515886
23216,839,127.0430162,37.51280242
23856,280,127.0409157,37.48556136
23193,632,127.0623297,37.51452549
